Site,Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
4NL2,TotalMortalityProportion,1023,2,4.1e-4,0,7.95e-4,0,0.00881
4NL2,TotalTreatments,1023,2,69.95299,52,72.130055,0,616
4NL2,TotalTreatmentsProportion,1023,2,0.02854,0.02222,0.024429,0,0.21434
4NL2,WaterDispHdRMS,1023,31,1.20226,1.05932,0.720982,0.10526,3.33333
4NL2,WaterDispHdVC,1023,15,1.18121,1.04823,0.701765,0.11267,3.24242
4NL2,WaterDispRMS,1023,31,2043.4506,2118.5,835.581136,84,4699
4NL2,WaterDispVC,1023,15,2030.07044,2113,852.270169,75,4721
4NL2,WaterMedications,1023,2,0.19099,0,0.393273,0,1
BIBL,AvgTempSetPointDeviationVC,820,3,6.3284,4.1,6.863719,-4.2,21.7
BIBL,AvgTempVC,820,2,75.49535,76.4,5.580803,59.7,87.9
BIBL,Ceftiofur,820,2,2.51222,0,19.214322,0,326
BIBL,CeftiofurProportion,820,2,0.00145,0,0.011011,0,0.19854
BIBL,Days,820,2,77.01222,69,49.134142,1,178
BIBL,Dead,820,2,0.38753,0,0.911072,0,12
BIBL,DeadProportion,820,2,2.5e-4,0,7.05e-4,0,0.01099
BIBL,Dexamethasone,820,2,0.20171,0,2.299943,0,59
BIBL,DexamethasoneProportion,820,2,1.1e-4,0,0.001234,0,0.03164
BIBL,Enroflaxin,820,2,4.38509,0,21.990364,0,308
BIBL,EnroflaxinProportion,820,2,0.00236,0,0.012003,0,0.16649
BIBL,Euth,820,2,0.26039,0,0.823118,0,10
BIBL,EuthProportion,820,2,1.5e-4,0,5.1e-4,0,0.00481
BIBL,HiTempRMS,820,3,80.12386,80.4,7.158665,60.9,97.4
BIBL,HiTempSetPointDeviationRMS,820,3,10.85237,8.1,8.933745,-4.7,31.7
BIBL,HiTempSetPointDeviationVC,820,3,10.97711,8.3,8.799,-1.7,31.7
BIBL,HiTempVC,820,2,80.14487,80.35,7.12287,60.5,97.4
BIBL,Inventory,820,2,1620.30562,1728,512.8926,48,2828
BIBL,InventoryChange,820,2,5.64303,0,143.814632,-1095,1933
BIBL,Lincomycin,820,2,1.94866,0,6.853587,0,93
BIBL,LincomycinProportion,820,2,0.0011,0,0.003885,0,0.05464
BIBL,LowTempRMS,820,3,71.90282,72.5,4.895441,57,82.1
BIBL,LowTempSetPointDeviationRMS,820,3,2.63133,0.9,5.714753,-17.5,14.6
BIBL,LowTempSetPointDeviationVC,820,3,2.61554,0.5,5.574853,-12.9,14.6
BIBL,LowTempVC,820,2,71.78227,72.4,4.896092,57.6,81.4
BIBL,Marketing,820,2,0.1577,0,0.364684,0,1
BIBL,MidPointTempRMS,820,3,76.01334,77,5.773623,59.45,88.7
BIBL,MidPointTempSetPointDeviationRMS,820,3,6.74185,4.65,7.2086,-10.5,22.3
BIBL,OtherTreatments,820,2,0,0,0,0,0
BIBL,OtherTreatmentsProportion,820,2,0,0,0,0,0
BIBL,Penicillin,820,2,0.0709,0,0.728748,0,13
BIBL,PenicillinProportion,820,2,4e-5,0,4.29e-4,0,0.00776
BIBL,PrimaryRespiratory,820,2,7.51467,0,29.67136,0,326
BIBL,PrimaryRespiratoryProportion,820,2,0.00415,0,0.016542,0,0.19854
BIBL,SecondaryRespiratory,820,2,2.22127,0,7.190275,0,93
BIBL,SecondaryRespiratoryProportion,820,2,0.00125,0,0.004056,0,0.05464
BIBL,SetPointRMS,820,2,69.2687,67,6.452331,61.1,83
BIBL,SetPointVC,820,3,69.16756,67.1,6.255618,60.3,83
BIBL,TempRangeRMS,820,3,8.22104,7,4.133373,1.2,19.5
BIBL,TempRangeVC,820,2,8.36259,7.2,4.056811,1.2,19.5
BIBL,Tetracycline,820,2,0.61736,0,6.962852,0,133
BIBL,TetracyclineProportion,820,2,3.5e-4,0,0.003925,0,0.07609
BIBL,TotalInventoryChange,820,2,5.73472,-1,192.841623,-1095,1933
BIBL,TotalMortality,820,2,0.64792,0,1.358865,0,16
BIBL,TotalMortalityProportion,820,2,4e-4,0,9.46e-4,0,0.01465
BIBL,TotalTreatments,820,2,9.73594,0,30.625646,0,326
BIBL,TotalTreatmentsProportion,820,2,0.0054,0,0.01708,0,0.19854
BIBL,WaterDispHdRMS,820,360,1.16046,1.13287,0.631037,0.1,3.57927
BIBL,WaterDispHdVC,820,20,1.25608,1.37491,0.620024,0.11896,3.28571
BIBL,WaterDispRMS,820,360,1903.37391,1861,975.361913,20,5645
BIBL,WaterDispVC,820,20,1978.22125,2015.5,1008.053972,27,4100
BIBL,WaterMedications,820,2,0.06235,0,0.241933,0,1
CON2,AvgTempSetPointDeviationVC,1050,369,5.70413,5.19805,4.234404,-8.02917,23.06767
CON2,AvgTempVC,1050,345,73.53147,72.93225,6.376442,59.16416,91.20936
CON2,Ceftiofur,1050,1,0.87989,0,6.489044,0,100
CON2,CeftiofurProportion,1050,1,6.7e-4,0,0.004877,0,0.07418
CON2,Days,1050,1,81.63584,81,49.758107,1,175
CON2,Dead,1050,7,0.4209,0,0.813882,0,7
CON2,DeadProportion,1050,7,3.3e-4,0,7.08e-4,0,0.00562
CON2,Dexamethasone,1050,1,0.37846,0,1.571075,0,19
CON2,DexamethasoneProportion,1050,1,2.1e-4,0,8.32e-4,0,0.00954
CON2,Enroflaxin,1050,1,4.12583,0,9.94217,0,100
CON2,EnroflaxinProportion,1050,1,0.00222,0,0.006322,0,0.06854
CON2,Euth,1050,7,0.35379,0,1.318134,0,15
CON2,EuthProportion,1050,7,3e-4,0,0.001524,0,0.02913
CON2,HiTempRMS,1050,34,74.94665,74.7,6.339714,62,96
CON2,HiTempSetPointDeviationRMS,1050,34,5.90157,5.8,3.989893,-2.1,23.7
CON2,HiTempSetPointDeviationVC,1050,369,12.01849,11.1042,6.158639,0.1592,36.7025
CON2,HiTempVC,1050,345,79.834,79.0642,7.442937,62.9989,98.1883
CON2,Inventory,1050,1,1521.31173,1258,751.70344,108,3083
CON2,InventoryChange,1050,2,3.65076,0,167.718821,-1619,1830
CON2,Lincomycin,1050,1,0.54623,0,2.232653,0,30
CON2,LincomycinProportion,1050,1,4.4e-4,0,0.001791,0,0.02396
CON2,LowTempRMS,1050,34,70.73839,70.25,5.339479,60,84.2
CON2,LowTempSetPointDeviationRMS,1050,34,1.69331,2.5,3.269084,-8.3,14.8
CON2,LowTempSetPointDeviationVC,1050,369,-0.5544,-0.4382,3.56797,-26.2605,10.8272
CON2,LowTempVC,1050,345,67.3118,66.7271,7.011973,49.3112,84.8301
CON2,Marketing,1050,1,0.15253,0,0.359702,0,1
CON2,MidPointTempRMS,1050,34,72.84252,72.4,5.718715,61,88.7
CON2,MidPointTempSetPointDeviationRMS,1050,34,3.79744,4,3.414056,-3.7,19.25
CON2,OtherTreatments,1050,1,1.20114,0,7.463816,0,100
CON2,OtherTreatmentsProportion,1050,1,9.1e-4,0,0.005549,0,0.0693
CON2,Penicillin,1050,1,0.38227,0,2.879201,0,75
CON2,PenicillinProportion,1050,1,1.6e-4,0,0.001745,0,0.05297
CON2,PrimaryRespiratory,1050,1,6.58341,0,12.901157,0,100
CON2,PrimaryRespiratoryProportion,1050,1,0.00401,0,0.009094,0,0.07905
CON2,SecondaryRespiratory,1050,1,1.30696,0,4.412115,0,75
CON2,SecondaryRespiratoryProportion,1050,1,8.1e-4,0,0.002792,0,0.05297
CON2,SetPointRMS,1050,28,69.04354,68.3,7.614147,60,89
CON2,SetPointVC,1050,28,69.04354,68.3,7.614147,60,89
CON2,TempRangeRMS,1050,34,4.20827,3.3,2.566946,0.3,17
CON2,TempRangeVC,1050,345,12.52219,12.1626,4.742687,3.6211,30.8986
CON2,Tetracycline,1050,1,1.57769,0,5.703715,0,50
CON2,TetracyclineProportion,1050,1,0.00111,0,0.004322,0,0.03953
CON2,TotalInventoryChange,1050,4,-0.83078,-1,240.838847,-2897,1829
CON2,TotalMortality,1050,7,0.77469,0,1.581458,0,20
CON2,TotalMortalityProportion,1050,7,6.3e-4,0,0.001768,0,0.03226
CON2,TotalTreatments,1050,1,9.09152,3,16.101752,0,175
CON2,TotalTreatmentsProportion,1050,1,0.00573,0.00217,0.011422,0,0.11995
CON2,WaterDispHdRMS,1050,62,1.24407,1.50134,0.625574,0.10085,3.57802
CON2,WaterDispHdVC,1050,329,1.29124,1.61365,0.632599,0.10085,2.90083
CON2,WaterDispRMS,1050,62,1668.17915,1949,717.993249,73,3475
CON2,WaterDispVC,1050,329,1595.70874,1913,778.217166,40,3570
CON2,WaterMedications,1050,1,0.18494,0,0.388432,0,1
G1TC,AvgTempSetPointDeviationVC,872,45,4.31318,3.1,5.016883,-14.4,21.7
G1TC,AvgTempVC,872,37,73.70635,72.8,5.22513,53.4,87.9
G1TC,Ceftiofur,872,0,2.47477,0,13.527598,0,177
G1TC,CeftiofurProportion,872,0,0.00144,0,0.007807,0,0.07984
G1TC,Days,872,0,75.61124,73,45.642715,1,171
G1TC,Dead,872,0,0.37156,0,0.848863,0,12
G1TC,DeadProportion,872,0,1.9e-4,0,4.16e-4,0,0.00536
G1TC,Dexamethasone,872,0,9.56193,0,18.169083,0,92
G1TC,DexamethasoneProportion,872,0,0.00512,0,0.009774,0,0.05097
G1TC,Enroflaxin,872,0,9.42431,0,22.264793,0,167
G1TC,EnroflaxinProportion,872,0,0.00463,0,0.010357,0,0.06636
G1TC,Euth,872,0,0.30275,0,0.701052,0,8
G1TC,EuthProportion,872,0,1.6e-4,0,3.7e-4,0,0.00363
G1TC,HiTempRMS,872,7,77.8659,76.3,6.765938,57.4,96.5
G1TC,HiTempSetPointDeviationRMS,872,7,8.41503,6,7.329115,-7.6,31.9
G1TC,HiTempSetPointDeviationVC,872,28,8.19988,6,7.253787,-11.3,31.9
G1TC,HiTempVC,872,11,77.25343,76.2,7.592983,45.4,96.5
G1TC,Inventory,872,0,1845.36009,1876,368.18079,10,2545
G1TC,InventoryChange,872,0,8.53211,0,130.680174,-703,1545
G1TC,Lincomycin,872,0,9.73394,0,20.194243,0,134
G1TC,LincomycinProportion,872,0,0.00528,0,0.010988,0,0.0744
G1TC,LowTempRMS,872,7,70.98023,70.1,3.943125,51.1,83.1
G1TC,LowTempSetPointDeviationRMS,872,7,1.52936,1.2,3.488253,-18.8,13.1
G1TC,LowTempSetPointDeviationVC,872,29,1.11779,1.2,4.480047,-19.7,15.2
G1TC,LowTempVC,872,21,70.47015,70,4.430488,45,83.1
G1TC,Marketing,872,0,0.08028,0,0.271875,0,1
G1TC,MidPointTempRMS,872,7,74.42306,73.3,4.988963,54.25,89.45
G1TC,MidPointTempSetPointDeviationRMS,872,7,4.9722,3.7,5.21235,-10.75,22.5
G1TC,OtherTreatments,872,0,0,0,0,0,0
G1TC,OtherTreatmentsProportion,872,0,0,0,0,0,0
G1TC,Penicillin,872,0,0.01606,0,0.172025,0,3
G1TC,PenicillinProportion,872,0,1e-5,0,8.9e-5,0,0.00155
G1TC,PrimaryRespiratory,872,0,12.62615,0,25.520846,0,177
G1TC,PrimaryRespiratoryProportion,872,0,0.0064,0,0.012651,0,0.07984
G1TC,SecondaryRespiratory,872,0,19.31193,0,35.022138,0,184
G1TC,SecondaryRespiratoryProportion,872,0,0.01041,0,0.018949,0,0.10194
G1TC,SetPointRMS,872,1,69.4597,67.8,5.018313,64,83
G1TC,SetPointVC,872,17,69.52982,67.9,5.018998,63.5,83
G1TC,TempRangeRMS,872,7,6.88566,4.9,4.80555,0.3,28.1
G1TC,TempRangeVC,872,21,7.0973,5.4,4.821453,0,28.1
G1TC,Tetracycline,872,0,0.72706,0,5.024743,0,68
G1TC,TetracyclineProportion,872,0,3.3e-4,0,0.002221,0,0.0294
G1TC,TotalInventoryChange,872,0,12.55505,-1,204.663072,-751,2545
G1TC,TotalMortality,872,0,0.67431,0,1.170585,0,12
G1TC,TotalMortalityProportion,872,0,3.5e-4,0,5.9e-4,0,0.00545
G1TC,TotalTreatments,872,0,31.93807,18,39.530637,0,184
G1TC,TotalTreatmentsProportion,872,0,0.01681,0.00888,0.020864,0,0.10194
G1TC,WaterDispHdRMS,872,45,1.26752,1.30319,0.669129,0.1,3.65971
G1TC,WaterDispHdVC,872,452,1.25915,1.3945,0.597732,0.108,2.40022
G1TC,WaterDispRMS,872,45,2301.38573,2370,1194.3795930000001,100,6840
G1TC,WaterDispVC,872,452,2302.97381,2594.5,1080.751664,122,4426
G1TC,WaterMedications,872,0,0.0195,0,0.138338,0,1
HOTC,AvgTempSetPointDeviationVC,981,86,7.38828,4.7999,6.54957,-3.78509,25.76737
HOTC,AvgTempVC,981,81,74.78601,74.68397,5.623899,59.05462,89.72599
HOTC,Ceftiofur,981,4,15.47799,0,49.642263,0,627
HOTC,CeftiofurProportion,981,4,0.00428,0,0.012886,0,0.16131
HOTC,Days,981,3,88.92434,82.5,56.182664,1,210
HOTC,Dead,981,6,0.58359,0,1.087986,0,8
HOTC,DeadProportion,981,6,2.2e-4,0,4.06e-4,0,0.00396
HOTC,Dexamethasone,981,4,2.45548,0,5.484919,0,51
HOTC,DexamethasoneProportion,981,4,7.8e-4,0,0.001674,0,0.01554
HOTC,Enroflaxin,981,4,1.46878,0,15.857178,0,265
HOTC,EnroflaxinProportion,981,4,3.8e-4,0,0.004097,0,0.06837
HOTC,Euth,981,6,0.51795,0,1.557072,0,36
HOTC,EuthProportion,981,6,2.1e-4,0,7.21e-4,0,0.01779
HOTC,HiTempRMS,981,9,79.27706,78.8,7.717065,61.6,99.7
HOTC,HiTempSetPointDeviationRMS,981,13,10.97893,6.65,9.374891,-4.4,36.4
HOTC,HiTempSetPointDeviationVC,981,84,14.26689,10.9527,8.609729,0.1616,36.6256
HOTC,HiTempVC,981,79,81.65764,81.3598,7.065447,63.7036,99.6427
HOTC,Inventory,981,3,2340.56953,1998,1168.555396,4,4317
HOTC,InventoryChange,981,4,3.91198,0,213.541086,-2293,1531
HOTC,Lincomycin,981,4,5.27329,0,12.152887,0,119
HOTC,LincomycinProportion,981,4,0.00285,0,0.006352,0,0.06191
HOTC,LowTempRMS,981,10,70.50381,69.9,4.926134,46.6,82.6
HOTC,LowTempSetPointDeviationRMS,981,14,2.19648,1.3,4.697238,-20.1,18
HOTC,LowTempSetPointDeviationVC,981,86,0.00836,-1.2907,5.593371,-17.6644,17.6276
HOTC,LowTempVC,981,81,67.40174,66.6888,5.730239,49.9356,81.3869
HOTC,Marketing,981,3,0.16053,0,0.367286,0,1
HOTC,MidPointTempRMS,981,10,74.89825,75.3,5.804885,57.2,89.7
HOTC,MidPointTempSetPointDeviationRMS,981,14,6.59245,3.95,6.842881,-9.35,26.2
HOTC,OtherTreatments,981,4,0,0,0,0,0
HOTC,OtherTreatmentsProportion,981,4,0,0,0,0,0
HOTC,Penicillin,981,4,2.02149,0,14.783289,0,179
HOTC,PenicillinProportion,981,4,5e-4,0,0.003669,0,0.04577
HOTC,PrimaryRespiratory,981,4,22.28147,2,52.460559,0,627
HOTC,PrimaryRespiratoryProportion,981,4,0.00702,7.8e-4,0.014269,0,0.16131
HOTC,SecondaryRespiratory,981,4,9.75026,4,18.41521,0,179
HOTC,SecondaryRespiratoryProportion,981,4,0.00413,0.00183,0.006966,0,0.06191
HOTC,SetPointRMS,981,13,68.27014,66.8,6.138298,60,83
HOTC,SetPointVC,981,13,68.27014,66.8,6.138298,60,83
HOTC,TempRangeRMS,981,10,8.78888,6.4,5.700913,1.1,27.6
HOTC,TempRangeVC,981,81,14.27931,14.0536,5.267479,3.296,30.9846
HOTC,Tetracycline,981,4,5.3347,0,16.164103,0,180
HOTC,TetracyclineProportion,981,4,0.00237,0,0.006777,0,0.06618
HOTC,TotalInventoryChange,981,8,1.52518,-2,288.911403,-2481,1654
HOTC,TotalMortality,981,6,1.10154,0,2.052931,0,36
HOTC,TotalMortalityProportion,981,6,4.2e-4,0,8.54e-4,0,0.01779
HOTC,TotalTreatments,981,4,32.03173,13,55.607414,0,640
HOTC,TotalTreatmentsProportion,981,4,0.01116,0.00604,0.015346,0,0.16465
HOTC,WaterDispHdRMS,981,48,1.0451,1.07545,0.507194,0.10016,3.24524
HOTC,WaterDispHdVC,981,734,1.07501,1.0422,0.460753,0.10687,2.0205
HOTC,WaterDispRMS,981,48,2109.65595,2322,926.511107,15,6471
HOTC,WaterDispVC,981,734,2175.51012,2361,1021.982494,14,4041
HOTC,WaterMedications,981,4,0.01228,0,0.1102,0,1
TPLJ,AvgTempSetPointDeviationVC,930,253,6.16696,3.68541,6.941958,-4.10543,28.16866
TPLJ,AvgTempVC,930,249,71.49195,71.02373,6.763053,60.11979,88.16866
TPLJ,Ceftiofur,930,4,0.61879,0,3.388443,0,45
TPLJ,CeftiofurProportion,930,4,8.3e-4,0,0.004544,0,0.05851
TPLJ,Days,930,0,96.47742,99,49.646783,1,191
TPLJ,Dead,930,3,1.12082,0,2.491989,0,25
TPLJ,DeadProportion,930,3,0.00115,0,0.002712,0,0.02298
TPLJ,Dexamethasone,930,4,1.53564,0,10.666762,0,124
TPLJ,DexamethasoneProportion,930,4,0.00139,0,0.009585,0,0.11022
TPLJ,Enroflaxin,930,4,2.2041,0,7.814638,0,95
TPLJ,EnroflaxinProportion,930,4,0.00142,0,0.00677,0,0.10448
TPLJ,Euth,930,3,1.13376,0,3.388045,0,44
TPLJ,EuthProportion,930,3,0.00119,0,0.003713,0,0.05591
TPLJ,HiTempRMS,930,7,77.33716,78,8.426904,62,99.6
TPLJ,HiTempSetPointDeviationRMS,930,7,11.44355,8.4,9.973022,-2,39.6
TPLJ,HiTempSetPointDeviationVC,930,252,12.51107,9.5151,9.303252,-1.4915,40.304
TPLJ,HiTempVC,930,248,77.82226,77.15525,8.245572,63.8103,100.304
TPLJ,Inventory,930,0,1222.97742,1087,739.006104,53,2987
TPLJ,InventoryChange,930,0,1.51935,-1,146.21057,-1954,1760
TPLJ,Lincomycin,930,4,0.7959,0,3.39195,0,36
TPLJ,LincomycinProportion,930,4,5.9e-4,0,0.002512,0,0.026950000000000002
TPLJ,LowTempRMS,930,7,68.40748,67.1,5.617995,57,81
TPLJ,LowTempSetPointDeviationRMS,930,7,2.51387,1.3,4.508305,-6,19
TPLJ,LowTempSetPointDeviationVC,930,253,-0.42744,-1.3411,4.93774,-20.2057,15.4228
TPLJ,LowTempVC,930,249,64.91044,63.7747,6.442612,45.4013,81.6044
TPLJ,Marketing,930,0,0.15484,0,0.361946,0,1
TPLJ,MidPointTempRMS,930,7,72.87232,73,6.383695,61,87.2
TPLJ,MidPointTempSetPointDeviationRMS,930,7,6.97871,4.75,7.025472,-3.5,27.2
TPLJ,OtherTreatments,930,4,1.43305,0,10.602669,0,124
TPLJ,OtherTreatmentsProportion,930,4,0.0013,0,0.009506,0,0.11022
TPLJ,Penicillin,930,4,0.43844,0,2.075856,0,33
TPLJ,PenicillinProportion,930,4,5.9e-4,0,0.003101,0,0.05851
TPLJ,PrimaryRespiratory,930,4,3.0324,0,8.399294,0,95
TPLJ,PrimaryRespiratoryProportion,930,4,0.00239,0,0.008027,0,0.10448
TPLJ,SecondaryRespiratory,930,4,2.76998,0,11.362528,0,124
TPLJ,SecondaryRespiratoryProportion,930,4,0.00257,0,0.010382,0,0.11022
TPLJ,SetPointRMS,930,6,65.88831,62,7.415451,60,83
TPLJ,SetPointVC,930,6,65.88831,62,7.415451,60,83
TPLJ,TempRangeRMS,930,7,8.92969,7.2,6.491757,0.9,32.2
TPLJ,TempRangeVC,930,249,12.91943,12.0168,6.23106,2.1808,37.1153
TPLJ,Tetracycline,930,4,0.2095,0,1.383047,0,17
TPLJ,TetracyclineProportion,930,4,1.5e-4,0,9.86e-4,0,0.01256
TPLJ,TotalInventoryChange,930,0,-2.22473,-1,195.342436,-2288,1760
TPLJ,TotalMortality,930,3,2.25458,1,5.540146,0,55
TPLJ,TotalMortalityProportion,930,3,0.00233,6.9e-4,0.00597,0,0.06607
TPLJ,TotalTreatments,930,4,7.23542,0,22.830011,0,248
TPLJ,TotalTreatmentsProportion,930,4,0.00626,0,0.020987,0,0.22044
TPLJ,WaterDispHdRMS,930,18,1.28183,1.39732,0.591738,0.11808,3.34971
TPLJ,WaterDispHdVC,930,202,1.3123,1.44092,0.562462,0.12384,2.97368
TPLJ,WaterDispRMS,930,18,1412.35746,1520,753.125865,52,3832
TPLJ,WaterDispVC,930,202,1460.46429,1596,788.920589,62,3829
TPLJ,WaterMedications,930,0,0.14194,0,0.349172,0,1
